Scale Factor,Variant,Trial,Query,Time
1,widetable,1,Q4.1,0.0066
1,widetable,1,Q4.2,0.00865
1,widetable,1,Q4.3,0.00612
1,widetable,2,Q1.1,0.00359
1,widetable,2,Q1.2,0.00312
1,widetable,2,Q1.3,0.00249
1,widetable,2,Q2.1,0.03666
1,widetable,2,Q2.2,0.00688
1,widetable,2,Q2.3,0.0043
1,widetable,2,Q3.1,0.00849
1,widetable,2,Q3.2,0.00833
1,widetable,2,Q3.3,0.00752
1,widetable,2,Q3.4,0.00398
1,widetable,2,Q4.1,0.00664
1,widetable,2,Q4.2,0.00802
1,widetable,2,Q4.3,0.00648
1,widetable,3,Q1.1,0.00354
1,widetable,3,Q1.2,0.00285
1,widetable,3,Q1.3,0.00288
1,widetable,3,Q2.1,0.03031
1,widetable,3,Q2.2,0.00666
1,widetable,3,Q2.3,0.00427
1,widetable,3,Q3.1,0.00812
1,widetable,3,Q3.2,0.0084
1,widetable,3,Q3.3,0.00775
1,widetable,3,Q3.4,0.00413
1,widetable,3,Q4.1,0.007
1,widetable,3,Q4.2,0.00798
1,widetable,3,Q4.3,0.00636
1,widetable,4,Q1.1,0.00376
1,widetable,4,Q1.2,0.0029
1,widetable,4,Q1.3,0.00234
1,widetable,4,Q2.1,0.02871
1,widetable,4,Q2.2,0.0071
1,widetable,4,Q2.3,0.00444
1,widetable,4,Q3.1,0.00776
1,widetable,4,Q3.2,0.00885
1,widetable,4,Q3.3,0.00721
1,widetable,4,Q3.4,0.00364
1,widetable,4,Q4.1,0.00673
1,widetable,4,Q4.2,0.00852
1,widetable,4,Q4.3,0.00625
1,widetable,5,Q1.1,0.00371
1,widetable,5,Q1.2,0.00297
1,widetable,5,Q1.3,0.00239
1,widetable,5,Q2.1,0.03491
1,widetable,5,Q2.2,0.00689
1,widetable,5,Q2.3,0.00443
1,widetable,5,Q3.1,0.0086
1,widetable,5,Q3.2,0.00857
1,widetable,5,Q3.3,0.00759
1,widetable,5,Q3.4,0.00418
1,widetable,5,Q4.1,0.00684
1,widetable,5,Q4.2,0.00851
1,widetable,5,Q4.3,0.00632
1,widetable,6,Q1.1,0.00378
1,widetable,6,Q1.2,0.00326
1,widetable,6,Q1.3,0.00263
1,widetable,6,Q2.1,0.02674
1,widetable,6,Q2.2,0.00603
1,widetable,6,Q2.3,0.00416
1,widetable,6,Q3.1,0.00807
1,widetable,6,Q3.2,0.00846
1,widetable,6,Q3.3,0.00735
1,widetable,6,Q3.4,0.00386
