Scale Factor,Variant,Trial,Query,Time
1,standard,0,Q1.1,0.01552
1,standard,0,Q1.2,0.00911
1,standard,0,Q1.3,0.00629
1,standard,0,Q2.1,0.17898
1,standard,0,Q2.2,0.02005
1,standard,0,Q2.3,0.00751
1,standard,0,Q3.1,0.01543
1,standard,0,Q3.2,0.0121
1,standard,0,Q3.3,0.00847
1,standard,0,Q3.4,0.00587
1,standard,0,Q4.1,0.02302
1,standard,0,Q4.2,0.02202
1,standard,0,Q4.3,0.01327
1,standard,1,Q1.1,0.00748
1,standard,1,Q1.2,0.00801
1,standard,1,Q1.3,0.00661
1,standard,1,Q2.1,0.11072
1,standard,1,Q2.2,0.01178
1,standard,1,Q2.3,0.00832
1,standard,1,Q3.1,0.01249
1,standard,1,Q3.2,0.01179
1,standard,1,Q3.3,0.00861
1,standard,1,Q3.4,0.00681
1,standard,1,Q4.1,0.01805
1,standard,1,Q4.2,0.01789
1,standard,1,Q4.3,0.01303
1,standard,2,Q1.1,0.00699
1,standard,2,Q1.2,0.00782
1,standard,2,Q1.3,0.00655
1,standard,2,Q2.1,0.08915
1,standard,2,Q2.2,0.01253
1,standard,2,Q2.3,0.00826
1,standard,2,Q3.1,0.01393
1,standard,2,Q3.2,0.01224
1,standard,2,Q3.3,0.01009
1,standard,2,Q3.4,0.00722
1,standard,2,Q4.1,0.0211
1,standard,2,Q4.2,0.02091
1,standard,2,Q4.3,0.0119
1,standard,3,Q1.1,0.01016
1,standard,3,Q1.2,0.0096
1,standard,3,Q1.3,0.00706
1,standard,3,Q2.1,0.09714
1,standard,3,Q2.2,0.01323
1,standard,3,Q2.3,0.00963
1,standard,3,Q3.1,0.01407
1,standard,3,Q3.2,0.01111
1,standard,3,Q3.3,0.00959
1,standard,3,Q3.4,0.00762
1,standard,3,Q4.1,0.02096
1,standard,3,Q4.2,0.01915
1,standard,3,Q4.3,0.0132
1,standard,4,Q1.1,0.00989
1,standard,4,Q1.2,0.00956
1,standard,4,Q1.3,0.00874
1,standard,4,Q2.1,0.06793
1,standard,4,Q2.2,0.0126
1,standard,4,Q2.3,0.01008
1,standard,4,Q3.1,0.01417
1,standard,4,Q3.2,0.01226
1,standard,4,Q3.3,0.01044
1,standard,4,Q3.4,0.00766
1,standard,4,Q4.1,0.02211
1,standard,4,Q4.2,0.02311
1,standard,4,Q4.3,0.01355
1,standard,5,Q1.1,0.00921
1,standard,5,Q1.2,0.00979
1,standard,5,Q1.3,0.00735
1,standard,5,Q2.1,0.0467
1,standard,5,Q2.2,0.01235
1,standard,5,Q2.3,0.00852
1,standard,5,Q3.1,0.01494
1,standard,5,Q3.2,0.01303
1,standard,5,Q3.3,0.00952
1,standard,5,Q3.4,0.00781
1,standard,5,Q4.1,0.03927
1,standard,5,Q4.2,0.01894
1,standard,5,Q4.3,0.01305
1,standard,6,Q1.1,0.00844
1,standard,6,Q1.2,0.00993
1,standard,6,Q1.3,0.00809
1,standard,6,Q2.1,0.03985
1,standard,6,Q2.2,0.01211
1,standard,6,Q2.3,0.00795
1,standard,6,Q3.1,0.01357
1,standard,6,Q3.2,0.01161
1,standard,6,Q3.3,0.00875
1,standard,6,Q3.4,0.0062
1,standard,6,Q4.1,0.01893
1,standard,6,Q4.2,0.02077
1,standard,6,Q4.3,0.01208
1,standard,7,Q1.1,0.00705
1,standard,7,Q1.2,0.00947
1,standard,7,Q1.3,0.00751
1,standard,7,Q2.1,0.03228
1,standard,7,Q2.2,0.01113
1,standard,7,Q2.3,0.00864
1,standard,7,Q3.1,0.01328
1,standard,7,Q3.2,0.01218
1,standard,7,Q3.3,0.01006
1,standard,7,Q3.4,0.00665
1,standard,7,Q4.1,0.02109
1,standard,7,Q4.2,0.02133
1,standard,7,Q4.3,0.01215
1,standard,8,Q1.1,0.00911
1,standard,8,Q1.2,0.01019
1,standard,8,Q1.3,0.00776
1,standard,8,Q2.1,0.03426
1,standard,8,Q2.2,0.0111
1,standard,8,Q2.3,0.00804
1,standard,8,Q3.1,0.01286
1,standard,8,Q3.2,0.01127
1,standard,8,Q3.3,0.00884
1,standard,8,Q3.4,0.00657
1,standard,8,Q4.1,0.0198
1,standard,8,Q4.2,0.02325
1,standard,8,Q4.3,0.01274
1,standard,9,Q1.1,0.01115
1,standard,9,Q1.2,0.0128
1,standard,9,Q1.3,0.00873
1,standard,9,Q2.1,0.08054
1,standard,9,Q2.2,0.01233
1,standard,9,Q2.3,0.00946
1,standard,9,Q3.1,0.01625
1,standard,9,Q3.2,0.01788
1,standard,9,Q3.3,0.01056
1,standard,9,Q3.4,0.00746
1,standard,9,Q4.1,0.02992
1,standard,9,Q4.2,0.02055
1,standard,9,Q4.3,0.01446
1,widetable,0,Q1.1,0.00675
1,widetable,0,Q1.2,0.00546
1,widetable,0,Q1.3,0.00446
1,widetable,0,Q2.1,0.04543
1,widetable,0,Q2.2,0.00646
1,widetable,0,Q2.3,0.00428
1,widetable,0,Q3.1,0.00947
1,widetable,0,Q3.2,0.0088
1,widetable,0,Q3.3,0.0079
1,widetable,0,Q3.4,0.00419
1,widetable,0,Q4.1,0.00665
1,widetable,0,Q4.2,0.01076
1,widetable,0,Q4.3,0.00537
1,widetable,1,Q1.1,0.0036
1,widetable,1,Q1.2,0.00301
1,widetable,1,Q1.3,0.00258
1,widetable,1,Q2.1,0.04041
1,widetable,1,Q2.2,0.00649
1,widetable,1,Q2.3,0.00507
1,widetable,1,Q3.1,0.00878
1,widetable,1,Q3.2,0.00958
1,widetable,1,Q3.3,0.00779
1,widetable,1,Q3.4,0.00498
1,widetable,1,Q4.1,0.00779
1,widetable,1,Q4.2,0.01155
1,widetable,1,Q4.3,0.00704
1,widetable,2,Q1.1,0.00468
1,widetable,2,Q1.2,0.00384
1,widetable,2,Q1.3,0.00294
1,widetable,2,Q2.1,0.04393
1,widetable,2,Q2.2,0.00704
1,widetable,2,Q2.3,0.00583
